STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,median-decimal,clean-income-tracts_Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-tracts_Annotation of Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-tracts_Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-tracts_Annotation of Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,NUMPOINTS
"47","037","010501","47037010501","105.01",Census Tract 105.01,G5020,S,"15663614","3626449","+36.2749497","-086.6559244",60026.000,"60026",null,"10335",null,0
"47","037","010502","47037010502","105.02",Census Tract 105.02,G5020,S,"7200322","1078857","+36.2251827","-086.6369451",76537.000,"76537",null,"8776",null,0
"47","037","011200","47037011200","112",Census Tract 112,G5020,S,"3182452","0","+36.2111532","-086.7293558",69932.000,"69932",null,"12217",null,0
"47","037","011800","47037011800","118",Census Tract 118,G5020,S,"1431641","0","+36.1859783","-086.7643983",73671.000,"73671",null,"9994",null,1
"47","037","011900","47037011900","119",Census Tract 119,G5020,S,"1382467","0","+36.1790857","-086.7590631",55413.000,"55413",null,"3222",null,1
"47","037","012100","47037012100","121",Census Tract 121,G5020,S,"1486725","0","+36.1804660","-086.7382659",114103.000,"114103",null,"22756",null,1
"47","037","012200","47037012200","122",Census Tract 122,G5020,S,"2523251","158154","+36.1701681","-086.7366579",102568.000,"102568",null,"15808",null,2
"47","037","012600","47037012600","126",Census Tract 126,G5020,S,"1209853","0","+36.1871076","-086.7719860",60221.000,"60221",null,"17771",null,0
"47","037","012802","47037012802","128.02",Census Tract 128.02,G5020,S,"13012214","777958","+36.1886310","-086.8514560",53415.000,"53415",null,"15229",null,0
"47","037","013500","47037013500","135",Census Tract 135,G5020,S,"1327688","0","+36.1503053","-086.8286316",89508.000,"89508",null,"26028",null,0
"47","037","015618","47037015618","156.18",Census Tract 156.18,G5020,S,"3732283","0","+36.0810830","-086.6188717",53516.000,"53516",null,"13519",null,0
"47","037","017401","47037017401","174.01",Census Tract 174.01,G5020,S,"1908746","0","+36.1133030","-086.7274160",52487.000,"52487",null,"6278",null,0
"47","037","017402","47037017402","174.02",Census Tract 174.02,G5020,S,"3250717","0","+36.1006369","-086.7268831",61351.000,"61351",null,"19471",null,0
"47","037","018101","47037018101","181.01",Census Tract 181.01,G5020,S,"3373771","0","+36.1439615","-086.8662662",35735.000,"35735",null,"15125",null,0
"47","037","013800","47037013800","138",Census Tract 138,G5020,S,"842068","0","+36.1756519","-086.8148041",44643.000,"44643",null,"11866",null,0
"47","037","013900","47037013900","139",Census Tract 139,G5020,S,"917871","0","+36.1757617","-086.8059132",38693.000,"38693",null,"8401",null,1
"47","037","016000","47037016000","160",Census Tract 160,G5020,S,"1703067","0","+36.1472198","-086.7618942",23646.000,"23646",null,"8214",null,2
"47","037","016200","47037016200","162",Census Tract 162,G5020,S,"1834980","8826","+36.1384775","-086.7809810",29103.000,"29103",null,"7339",null,3
"47","037","016100","47037016100","161",Census Tract 161,G5020,S,"3050308","0","+36.1355477","-086.7684992",55255.000,"55255",null,"6729",null,0
"47","037","018901","47037018901","189.01",Census Tract 189.01,G5020,S,"3241929","0","+36.0842377","-086.7415231",50781.000,"50781",null,"22663",null,0
"47","037","018902","47037018902","189.02",Census Tract 189.02,G5020,S,"2085016","0","+36.0753131","-086.7434574",66724.000,"66724",null,"29153",null,0
"47","037","018203","47037018203","182.03",Census Tract 182.03,G5020,S,"2836389","0","+36.1106803","-086.8763684",210000.000,"210000",null,"40064",null,0
"47","037","018602","47037018602","186.02",Census Tract 186.02,G5020,S,"17436224","4486","+36.0643391","-086.8307156",201786.000,"201786",null,"35986",null,0
